Date,Close
2022-01-05,17941.5304827192
2022-01-06,17914.93983435224
2022-01-07,17726.700678343455
2022-01-10,17831.126266848594
2022-01-11,18009.01979616893
2022-01-12,18057.79429831381
2022-01-13,18208.84939289587
2022-01-14,18263.129402037426
2022-01-17,18250.679664024323
2022-01-18,18302.45734242901
2022-01-19,18117.146181979148
2022-01-20,17913.883173293427
2022-01-21,17763.821981028865
2022-01-24,17621.0552429972
2022-01-25,17110.604380395693
2022-01-27,17309.013898714264
2022-01-28,17108.575042752578
2022-01-31,17092.959763036353
2022-02-01,17354.1977151145
2022-02-02,17607.484878341944
2022-02-03,17751.665129244084
2022-02-04,17565.364054471484
2022-02-07,17501.078428795183
2022-02-08,17199.376843306687
2022-02-09,17291.995290539522
2022-02-10,17455.163126106527
2022-02-11,17639.163259596073
2022-02-14,17328.010728313053
2022-02-15,16822.42111732332
2022-02-16,17399.440249445743
2022-02-17,17327.841237881472
2022-02-18,17280.99518336781
2022-02-21,17265.481519677716
2022-02-22,17246.046108467483
2022-02-23,17034.91782265029
2022-02-24,17106.500081044942
2022-02-25,16201.44971104357
2022-02-28,16655.73555358019
2022-03-02,16865.493711572737
2022-03-03,16549.239222457
2022-03-04,16476.226901170747
2022-03-07,16314.940414721645
2022-03-08,15773.12309000676
2022-03-09,16078.620872421832
2022-03-10,16365.001521508759
2022-03-11,16551.357517838118
2022-03-14,16673.712781805305
2022-03-15,16838.32460761343
2022-03-16,16662.65077452202
2022-03-17,17000.4771280841
2022-03-21,17267.135983302178
2022-03-22,17141.79901204821
2022-03-23,17273.0332162316
2022-03-24,17279.187039992812
2022-03-25,17214.756857304707
2022-03-28,17119.093230616683
2022-03-29,17282.939638195243
2022-03-30,17276.08843826456
2022-03-31,17530.122860595562
2022-04-01,17464.0869729919
2022-04-04,17641.916149611727
2022-04-05,18110.917930080363
2022-04-06,17916.22251842304
2022-04-07,17788.638036414497
2022-04-08,17669.854639879562
2022-04-11,17763.456538748873
2022-04-12,17690.129754011243
2022-04-13,17523.65018797884
2022-04-18,17455.556297032592
2022-04-19,17203.242254801808
2022-04-20,16917.2801968296
2022-04-21,17172.05258974045
2022-04-22,17417.744155693388
2022-04-25,17117.69758758226
2022-04-26,16975.745634173356
2022-04-27,17207.723249578718
2022-04-28,17032.141165210192
2022-04-29,17254.526329232358
2022-05-02,17087.39930332873
2022-05-04,17082.904031911574
2022-05-05,16644.204737110864
2022-05-06,16711.5671804141
2022-05-09,16398.96915106206
2022-05-10,16301.476841525746
2022-05-11,16246.207749662934
2022-05-12,16170.94072174235
2022-05-13,15783.89275181144
2022-05-16,15797.2743885718
2022-05-17,15850.951839170772
2022-05-18,16273.313971387903
2022-05-19,16233.95356392317
2022-05-20,15780.723661565085
2022-05-23,16283.957544410352
2022-05-24,16242.466174493638
2022-05-25,16079.839669354309
2022-05-26,16032.749823328219
2022-05-27,16208.822359720305
2022-05-30,16306.667215527188
2022-05-31,16712.702257676345
2022-06-01,16548.126199666633
2022-06-02,16509.23988454243
2022-06-03,16664.244765199066
2022-06-06,16553.43907581061
2022-06-07,16579.305587493982
2022-06-08,16418.542446034615
2022-06-09,16339.251379184887
2022-06-10,16505.77274408667
2022-06-13,16183.09565469722
2022-06-14,15750.65986154975
2022-06-15,15762.479262856816
2022-06-16,15690.973123932066
2022-06-17,15344.287764255707
2022-06-20,15302.586871970609
2022-06-21,15360.317461686273
2022-06-22,15650.055570002436
2022-06-23,15394.920900465144
2022-06-24,15560.432622798697
2022-06-27,15709.958873537085
2022-06-28,15835.19215080526
2022-06-29,15829.923241276878
2022-06-30,15815.442482748516
2022-07-01,15763.585762621255
2022-07-04,15759.76075612518
2022-07-05,15843.635874200576
2022-07-06,15796.43670742693
2022-07-07,16008.977209932875
2022-07-08,16127.662314040399
2022-07-11,16219.787592726214
2022-07-12,16212.78694642652
2022-07-13,16048.487288599988
2022-07-14,15967.35049703182
2022-07-15,15943.822563196118
2022-07-18,16054.320325045474
2022-07-19,16286.285704370646
2022-07-20,16338.436871179969
2022-07-21,16517.44987874536
2022-07-22,16611.39419944857
2022-07-25,16716.914549529338
2022-07-26,16619.755977350465
2022-07-27,16485.937605939846
2022-07-28,16642.51079429689
2022-07-29,16954.325813588923
2022-08-01,17151.456000255006
2022-08-02,17335.037521922284
2022-08-03,17351.47335425442
2022-08-04,17372.236358333885
2022-08-05,17391.829585727064
2022-08-08,17397.0090311376
2022-08-10,17520.89168200232
2022-08-11,17549.32353833045
2022-08-12,17645.40711165409
2022-08-16,17706.853636556843
2022-08-17,17831.350622723374
2022-08-18,17933.05588858003
2022-08-19,17971.94734935623
2022-08-22,17729.568581405772
2022-08-23,17488.75154586211
2022-08-24,17595.44807158522
2022-08-25,17600.326924677574
2022-08-26,17523.623490666112
2022-08-29,17552.596716703232
2022-08-30,17312.571665791613
2022-09-01,17773.762549359362
2022-09-02,17538.93572203135
2022-09-05,17529.974168927634
2022-09-06,17664.464434002744
2022-09-07,17686.307568854932
2022-09-08,17575.79258869402
2022-09-09,17841.076273870654
2022-09-12,17825.341059879927
2022-09-13,17915.311129260823
2022-09-14,18108.06538997512
2022-09-15,17969.515515884377
2022-09-16,17877.496341708396
2022-09-19,17534.721190810724
2022-09-20,17607.01303367311
2022-09-21,17856.667505575424
2022-09-22,17696.11435751185
2022-09-23,17609.793133649342
2022-09-26,17352.362465841597
2022-09-27,16976.616544022414
2022-09-28,17032.555510813163
2022-09-29,16869.011937540206
2022-09-30,16786.52635260045
2022-10-03,17140.607814639894
2022-10-04,16863.819150739982
2022-10-06,17270.16319785434
2022-10-07,17364.500341495743
2022-10-10,17282.397531985855
2022-10-11,17235.19747880933
2022-10-12,17009.15731336154
2022-10-13,17086.80312727671
2022-10-14,17052.528401264295
2022-10-17,17174.74863182964
2022-10-18,17299.14601334544
2022-10-19,17531.507142309398
2022-10-20,17457.903156418157
2022-10-21,17600.554340130155
2022-10-24,17563.868701839274
2022-10-25,17722.67816470805
2022-10-27,17680.297884588937
2022-10-28,17707.85124974034
2022-10-31,17805.855119879343
2022-11-01,18024.043467351683
2022-11-02,18123.346367655475
2022-11-03,18106.387152252253
2022-11-04,18022.345604012844
2022-11-07,18135.925096640687
2022-11-09,18211.13136602209
2022-11-10,18132.667604846745
2022-11-11,18045.583959738145
2022-11-14,18346.886553337732
2022-11-15,18335.72310266073
2022-11-16,18402.464393881324
2022-11-17,18393.300924937474
2022-11-18,18368.64791182676
2022-11-21,18276.830018740602
2022-11-22,18176.099345947667
2022-11-23,18245.830220855012
2022-11-24,18257.95244730163
2022-11-25,18511.658242351947
2022-11-28,18488.2905261164
2022-11-29,18576.32295106353
2022-11-30,18613.04806420456
2022-12-01,18760.90989605484
2022-12-02,18818.772623116594
2022-12-05,18680.453867040942
2022-12-06,18705.238811848445
2022-12-07,18646.51609568528
2022-12-08,18550.908532015612
2022-12-09,18616.62393004547
2022-12-12,18496.24819469337
2022-12-13,18489.061052802037
2022-12-14,18621.805547391617
2022-12-15,18661.268893757337
2022-12-16,18394.169209024803
2022-12-19,18274.475677171642
2022-12-20,18427.793282569906
2022-12-21,18389.66594486042
